ID,Likability,Name,Text,Face
0,1,"トレーダー,トレーダー","《「さて、時間だ」》,《「お前なんかに割く価値のある時間はもうない」》","3,3"
1,1,"トレーダー,トレーダー","《「あぁ、まだいたのか」》,《「さっさと失せろ」》","1,3"
2,1,"トレーダー,トレーダー","《「お前の顔を見ているとイライラする」》,《「早く目の前から消えてくれ」》","3,3"
3,1,"トレーダー,トレーダー","《「いつまで呆けているつもりだ」》,《「もうとっくに時間切れだ、失せろ」》","3,3"
4,"2,3","トレーダー,トレーダー","《「毎度あり」》,《「まぁ、また直ぐに会うことになるだろう」》","2,1"
5,"2,3","トレーダー,トレーダー","《「さて、この辺りで時間切れだ」》,《「これでも暇ではない身分でね、失礼させてもらうよ」》","1,1"
6,"2,3","トレーダー,トレーダー,トレーダー","《「商人の奴らとは会ったか？」》,《「奴らの言葉に耳を傾けることは重要だ」》,《「その多くは無駄なことかもしれないが」》","4,1,4"
7,"2,3","トレーダー,トレーダー,トレーダー","《「お前たちは常に渇望している」》,《「いつまでも満たされることはない」》,《「だからこそ、何を選ぶかが重要だ」》","1,1,1"
8,"2,3","トレーダー,トレーダー,トレーダー,トレーダー","《「お前が元々いた場所では当たり前で無価値なものでも」》,《「ここでは価値のあるものとして扱われる」》,《「逆も然りだ、ゴミ同然のものですら」》,《「ここでは何かを支払わなければ手に入れることは出来ない」》","1,1,1,1"
9,"2,3","トレーダー,トレーダー,トレーダー,トレーダー,トレーダー","《「もう良いのか？」》,《「時が経つのは中々に早い」》,《「気が付けば奈落の顔ぶれも変わっている」》,《「さっきまで取引をしていた相手が気付けば白骨」》,《「全く、時の流れとは残酷なものだ」》","4,1,1,1,4"
10,4,"トレーダー,トレーダー,トレーダー","《「楽しい時間もここまでか……」》,《「だが案ずることはない」》,《「終わりが来るまで、何度だろうと繰り返すのだからな」》","4,1,5"
11,4,"トレーダー,トレーダー,トレーダー,トレーダー,トレーダー","《「かつてここは、今よりも静かだった」》,《「誰もいない、取引もない」》,《「ただの記憶の廃棄場」》,《「だから、今がとても楽しいんだ」》,《「お前も、いつまでもここにいてくれよ？」》","1,1,4,2,5"
12,4,"トレーダー,トレーダー,トレーダー,トレーダー","《「ここまで好感度を稼いだお前に良いことを教えてやろう」》,《「死を恐れるな、お前が死のうと世界は何度だろうと繰り返す」》,《「そして、己を取り戻せるだけのピースが集まった時に」》,《「真の意味でここから出ることが出来るだろうよ」》","2,1,1,2"
13,4,"トレーダー,トレーダー,トレーダー","《「いつまでもお前とここで取引をしていたいが」》,《「お前はいつか、ここから出て行くのだろうな」》,《「構わないさ、慣れていることだ」》","2,1,2"
