ID,Likability,Text,Face
0,"1,2,3,4",《命はいくつあっても足りないものだ》,1
1,"1,2,3,4",《お前はなぜこのテキストが見えている？》,1
2,"1,2,3,4",《またこれで、カラットを得ることが出来る》,1
3,"1,2,3,4",《隷属する資格だ》,1
4,"1,2,3,4",《抵抗する資格だ》,1
5,"1,2,3,4",《これでもう忘れない》,1
6,"1,2,3,4",《今を捨てて過去に生きるか？》,1
7,"1,2,3,4",《さぁ、前を向け》,1
8,"1,2,3,4",《祝福の旋律が聞こえた気がした》,1
9,"1,2,3,4",《これで、彼らの声が聞こえる》,1
10,"1,2,3,4",《少し眩しいが、安心する》,1
11,"1,2,3,4",《世界は色彩を取り戻した》,1
12,"1,2,3,4",《あぁ、これで良く視える》,1
13,"1,2,3,4",《退屈平坦な世界にディティールを》,1
14,"1,2,3,4",《正しさは鎧、言葉は武器だ》,1
15,"1,2,3,4",《何かが変わったような気がする》,1
16,"1,2,3,4",《対話する権利を得ても、商人は何も口にしなかった》,1
17,"1,2,3,4",《一を聞いて十を知った》,1
18,"1,2,3,4",《漢字の齎す恩恵は推定不可能な水準だ》,1
19,"1,2,3,4",《こころなしかあたたかい》,1
20,"1,2,3,4",《今やこの文字はディファクトスタンダードだ》,1
21,"1,2,3,4",《Everything’s okay.》,1
22,"1,2,3,4",《もう自分を見失わない》,1
23,"1,2,3,4",《指は一本でも多い方がいい》,1
24,"1,2,3,4",《これで少し余裕ができる》,1
25,"1,2,3,4",《さて、早速だが追加の品だ》,1
26,"1,2,3,4",《心を知りたい》,1
27,"1,2,3,4",《これでリスタートできる》,1
28,"1,2,3,4",《追加の商品を出してもらおう》,1
29,"1,2,3,4",,1
30,"1,2,3,4",《これは誰の名前だろうか》,1
31,"1,2,3,4",《何を記すか、何で記すか》,1
32,"1,2,3,4",《少し一休みといこう》,1
33,"1,2,3,4",《こんなものが奈落で何に使えるんだ？》,1
34,"1,2,3,4",《用途は無限にあるだろう》,1
35,"1,2,3,4",,1
36,"1,2,3,4",《さて、実はまだ売れるものがあるんだ》,1
37,"1,2,3,4",《最後はいつだって神頼みだ》,1
38,"1,2,3,4",,1
39,"1,2,3,4",,1
40,"1,2,3,4",,1
41,"1,2,3,4",,1
42,"1,2,3,4",,1
43,"1,2,3,4",,1
44,"1,2,3,4",,1
