ID,Likability,Text,Face
0,1,"《「また君か……」》,《「もう勘弁してくれないか、俺も限界なんだ」》","4,6"
1,1,"《「悪いが、君に武器は売れない」》,《「これが俺のせめてもの勇気だ」》","1,3"
2,1,"《「頼む、お願いだ……」》,《「俺の前から消えてくれ……」》","6,4"
3,1,"《「何が望みなんだ？」》,《「これ以上……俺を傷付けないで欲しい……」》","6,4"
4,"2,3","《「何の用だ……」》,《「取引。あぁ、そうか」》,《「いや気にしないでくれ、また俺を笑う輩かと思ってな……」》","1,1,2"
5,"2,3","《「見ての通り、俺は騎士だよ」》,《「『元』……だけどな」》,《「この剣も鎧も、もはや飾りにすぎないのさ……」》","2,1,2"
6,"2,3","《「どれほど有用な道具でも」》,《「鋭利な武器、堅牢な防具でも」》,《「使い手がなまくらでは意味がない」》,《「さぁ、好きに持っていけ……」》","1,1,4,2"
7,"2,3","《「もはや戦う勇気など沸かない」》,《「勝利の栄光も、敗北の屈辱も」》,《「とうの昔に捨てた感情だ」》","4,2,1"
8,"2,3","《「取引……か」》,《「もう俺に必要なものなんて」》,《「何一つないんだけどな……」》","2,1,4"
9,"2,3","《「何か必要なものがあるのか？」》,《「ここにあるものなら、好きに持っていってくれて構わない」》,《「どうせ俺には使えないものだ」》","2,2,4"
10,4,"《「あぁ、君か。よく来てくれた」》,《「君が欲しそうな物を用意しておいたぞ」》","2,5"
11,4,"《「最高の来客だ。親友」》,《「さぁ、今日は何が欲しい？」》","5,2"
12,4,"《「鍵、ナイフ、ランタン、紙とペン」》,《「必要な道具は揃ってる」》,《「さぁ、準備は出来てるか？」》,《「共にここから出よう、親友」》","1,1,2,5"
13,4,"《「俺は一度敗北した」》,《「二度と立ち上がることなど出来ないと思っていた」》,《「でも、君となら再び戦えるような気がする」》,《「親友、君が俺の希望なんだよ」》","4,1,2,5"
