ID,Likability,Name,Text,Face
0,"1,2,3,4",トレーダー,《「必死に生にしがみ付く姿勢は嫌いじゃない」》,5
1,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,3
2,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,5
3,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,2
4,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,2
5,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,1
6,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,4
7,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,2
8,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,2
9,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,2
10,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,2
11,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,2
12,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,2
13,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,2
14,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,2
15,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,1
16,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,5
17,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,2
18,"1,2",トレーダー,《「これはみえないはずだ。なぜミエル？」》,3
18,"3,4","トレーダー,トレーダー","《「ほら、これで元通りだ」》,《「やはり、全て見えたほうがいいな」》","2,5"
19,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,2
20,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,2
21,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,2
22,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,2
23,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,2
24,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,2
25,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,2
26,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,2
27,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,3
28,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,4
29,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,2
30,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,3
31,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,2
32,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,2
33,"1,2,3,4",トレーダー,《「これになんの意味もないぞ」》,1
34,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,2
35,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,2
36,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,5
37,"1,2,3,4",トレーダー,《「これはみえないはずだ。なぜミエル？」》,2
