ID,Likability,Name,Text,Face
0,1,"イカれた学者,イカれた学者,イカれた学者","《「はぁぁああああああ」》,《「クソでかい溜め息でもついてないとやってられねぇぜ」》,《「ほら、取引するなら早くしやがれ」》","4,1,1"
1,1,"イカれた学者,イカれた学者,イカれた学者","《「よりにもよってお前かよ！」》,《「あぁ！今日は随分と厄日だなオイ！」》,《「……取引だろ、早くしろ、ったくしょうがねぇなぁ……」》","4,3,1"
2,1,"イカれた学者,イカれた学者,イカれた学者,イカれた学者","《「マジかよオイオイ……」》,《「気付いてないようなら一応言っておくが」》,《「オレはお前が大嫌いだ！」》,《「分かったら早く品を出せ」》","6,1,3,4"
3,1,",,","《怒りで白衣が荒ぶっている》,《まるでイカの触手のようだ、と呟いた》,《触手は更に荒ぶった》","3,6,3"
4,"2,3","イカれた学者,イカれた学者,イカれた学者","《「よく来たな実験体！」》,《「あ？お前のことに決まってるだろ耳に鼻くそでも詰まってんのか？」》,《「さっさと持ってるものを出しやがれ、このオレが見定めてやる」》","2,3,2"
5,"2,3","イカれた学者,イカれた学者,イカれた学者,イカれた学者,イカれた学者","《「おいオレの前方1m34cm先の座標にいる感情模倣人形」》,《「お前、名前はないのか？」》,《「あぁ、やっぱりそうなんだな……クソッ」》,《「どうせあのトレーダーに奪われたんだろ」》,《「ここにいる奴等はみんな同じだよ、もちろんオレもな」》","1,1,3,1,4"
6,"2,3","イカれた学者,イカれた学者,イカれた学者","《「さぁ！時は来た！約束の時だ！」》,《「なんの時間かって？」》,《「お前と遭遇する予定の時間だよ」》","2,6,2"
7,"2,3","イカれた学者,イカれた学者,イカれた学者","《「盲人であっても、文盲にはなるなよ」》,《「目を抉られても、耳を千切られても」》,《「言葉を解することが出来れば生きていける」》","1,1,2"
8,"2,3","イカれた学者,イカれた学者,イカれた学者,イカれた学者,イカれた学者","《「ギャハハハハハハ！アハッアハハハハ！」》,《「何にっ……笑って……いるのかって！？」》,《「何も面白いことがないからだ！」》,《「つまらん！実に退屈だ！」》,《「ギャハハ！ゲホッ……オエッ……」》","5,5,2,2,5"
9,"2,3","イカれた学者,イカれた学者,イカれた学者","《「お前が元いた世界はクソつまらんな」》,《「奇跡も夢も魔法もない超現実的で残酷な世界」》,《「それでも……帰りたいと思うのか？」》","4,1,2"
10,4,"イカれた学者,イカれた学者,イカれた学者","《「よーく来てくれた！」》,《「お前が来てくれるなら大ッ歓迎だ！」》,《「具体的にはトレーダーの一億倍は歓迎してる」》","2,5,1"
11,4,"イカれた学者,イカれた学者,イカれた学者","《「最高の来客だ、相棒」》,《「お前が好きそうなものをたんまり用意しといたぜ！」》,《「タコとかな！」》","5,2,5"
12,4,"イカれた学者,イカれた学者,イカれた学者,イカれた学者","《「え、あ……なんでお前が生きて……」》,《「あぁ、クソっ……」》,《「気にしないでくれ、少し変な記録を見ただけだ」》,《「ったくあのトレーダーとかいうクソ野郎が……」》","6,4,1,4"
13,4,",イカれた学者,","《彼女は息を大きく吸い込んで》,《「よく来たなああああああああああ！相棒！」》,《と叫んだ後、満足気に頷いている》","6,5,2"
