ID,Likability,Text,Face
0,1,"《「貴様か」》,《「醜悪なものだ、どれほど富んでいようとも、貴様は心が醜すぎる」》,《「さっさと宝石を出せ、お前には不釣り合いなものだ」》","1,3,3"
1,1,"《「失せろ」》,《「貴様に語るべきことはない」》","3,3"
2,"2,3,4","《「かつての栄光、そこに執着はない」》,《「広大な土地にも、人を操る権威にも興味はない」》,《「ただ俺にあるのは、輝きへの妄執だけだ」》","1,1,4"
3,"2,3,4","《「ここは随分と暗いな」》,《「けれど、暗闇でこそ輝くものに価値はある」》,《「さて、今日はどんな宝石を持ってきたんだ？」》","1,2,2"
4,"2,3,4","《「ゲホッ……ゴホッ……ゴホッゴホッ」》,《「気にするな……気にした所でどうにかなるものじゃない」》,《「片肺というものは、やはり少し不便ではあるがな」》","4,1,4"
5,"2,3,4","《「大地を踏み締める歓びも、宙を踊る自由も俺には不要だ」》,《「ただ、俺の世界が、美しくあればいい」》,《「醜悪なものは、俺の視界に入れないでくれ」》","1,5,1"
6,"2,3,4","《「星とは良いものだ」》,《「永劫と色褪せぬ輝きを放っている」》《「けれど、あれは命の輝きで」》,《「いつか必ず終わるものでもある」》,《「まぁ、俺が死ぬまでは輝き続けるだろう」》,《「今はそれで十分なんだ」》","1,1,4,1,1,2"
7,"2,3,4","《「美とは恐ろしいものだよ」》,《「行き過ぎた美は、人を狂気へと誘う」》,《「俺も……その一人なのかもしれないな」》","1,4,1"
8,"2,3,4","《「ここにいる奴らは、一癖も二癖もある奴ばかりだ」》,《「大抵の奴は……過剰なばかりの何かへの固執……」》,《「『こだわり』を持っているみたいだが……」》","1,1,1"
9,"2,3,4","《「何かの偶然で次の階層に進めたとしても」》,《「それはただ運が良かっただけだ」》,《「俺は運が嫌いだ、あれは信用できないものだ」》,《「だというのに……誰も彼もがただ『幸運である』というだけで」》,《「先に進む権利を得る、気に食わないものだ」》","1,1,1,3,4,1"
