ID,Likability,Name,Text,Face
0,"1,2,3,4",トレーダー,《「必死に生にしがみ付く姿勢は嫌いじゃない」》,5
1,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,3
2,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,5
3,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,2
4,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,2
5,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,1
6,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,4
7,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,2
8,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,2
9,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,2
10,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,2
11,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,2
12,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,2
13,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,2
14,"1,2,3,4",トレーダー,《「良かったのか、それを失えばこのようになるのだぞ」》,2
15,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,1
16,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,5
17,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,1
18,"1,2","トレーダー,トレーダー,トレーダー","《「毎度あり」》,《「どうした、なにかおかしいか？」》,《「そうか、漢字が見えないんだったな」》","2,1,4"
18,"3,4","トレーダー,トレーダー","《「なんだ、見えないほうがいいのか？」》,《「変な趣味だな、見えてないだろうが」》","6,2"
19,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,2
20,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,2
21,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,2
22,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,2
23,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,2
24,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,2
25,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,2
26,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,2
27,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,3
28,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,4
29,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,2
30,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,3
31,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,2
32,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,2
33,"1,2,3,4",トレーダー,《「なんだ、いらないのか？」》,1
34,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,2
35,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,2
36,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,5
37,"1,2,3,4",トレーダー,《「これじゃないと言っただろう」》,2
