ID,Likability,Name,Text,Face
0,"1,2,3,4",イカれた学者,《「おぉ！心臓じゃないかまだ蠢いてるぞどういう理屈だ実に興味深い」》,5
1,"1,2,3,4",,《何かを手に入れる、対価を支払う、その手段》,1
2,"1,2,3,4",,《何かを失う、対価を得る、その手段》,1
3,"1,2,3,4",,《首を縦に振る従順さ》,1
4,"1,2,3,4",,《首を横に振る勇敢さ》,1
5,"1,2,3,4",イカれた学者,《「記憶を記録にしろ、お前の脳髄に確かに刻め」》,2
6,"1,2,3,4",イカれた学者,《「脳なんて所詮は生体記録装置だ、読み込めない道理はない」》,2
7,"1,2,3,4",,《一歩前に進む、そんなささやかな強さ》,1
8,"1,2,3,4",,《世界が奏でる旋律を聴くために》,1
9,"1,2,3,4",,《見えなくても、聞こえればいい》,1
10,"1,2,3,4",,《心の暗澹を照らす輝き》,1
11,"1,2,3,4",,《色褪せた灰色の世界はうんざりだ》,1
12,"1,2,3,4",,《より優れた瞳を》,1
13,"1,2,3,4",,《カタチだけでは、本質は理解できない》,1
14,"1,2,3,4",イカれた学者,《「それが言葉であることは理解できても、そもそも話が頓珍漢で分からなければ無意味だぜ！」》,2
15,"1,2,3,4",イカれた学者,《「なんでSELECTじゃないんだ？」》,6
16,"1,2,3,4",イカれた学者,《「話をしよう！言葉を交わそう！無意味な対話にこそ人生の意義はある！」》,5
17,"1,2,3,4",イカれた学者,《「数字は美しい、数学とは世界を記述する言語だ」》,2
18,"1,2,3,4",イカれた学者,《「我が物顔で使っているが本当はお前らの作ったものじゃないんだぜ」》,2
19,"1,2,3,4",イカれた学者,《「なんか柔らかいイメージを与える不思議な文字だ！なんでだろうな！」》,2
20,"1,2,3,4",イカれた学者,《「最近は横文字が多くて嫌になるぜ」》,4
21,"1,2,3,4",イカれた学者,《「Information is not knowledge.」》,2
22,"1,2,3,4",,《自分の意思を確かに示せ》,1
23,"1,2,3,4",,《これはこれだ》,1
24,"1,2,3,4",,《猶予は多い方がいい》,1
25,"1,2,3,4",,《取引できるものはまだまだある》,1
26,"1,2,3,4",,《読心の異能は、知りたくもない真実も示す》,1
27,"1,2,3,4",イカれた学者,《「これはお前にだけ許された権限だ」》,2
28,"1,2,3,4",,《取引できるものはまだあるだろう？》,1
29,"1,2,3,4",,,1
30,"1,2,3,4",イカれた学者,《「名前は何よりも大事なものだ、分かるだろ？」》,2
31,"1,2,3,4",イカれた学者,《「何枚あっても足りねぇな！」》,2
32,"1,2,3,4",,《一休みする余裕》,1
33,"1,2,3,4",,《鍵のかかった扉なんてあったか？》,1
34,"1,2,3,4",,《加害の象徴、また万能の利器でもある》,1
35,"1,2,3,4",,,1
36,"1,2,3,4",,《交渉のコツは本命を後から提示することだ》,1
37,"1,2,3,4",イカれた学者,《「幸運は待つものじゃない、掴み取るものだ」》,2
38,"1,2,3,4",,,1
39,"1,2,3,4",,,1
40,"1,2,3,4",,,1
41,"1,2,3,4",,,1
42,"1,2,3,4",,,1
43,"1,2,3,4",,,1
44,"1,2,3,4",,,1
