ID,Likability,Text,Face
0,"1,2,3,4",《本当に手放して良かったのか？》,1
1,"1,2,3,4",《二度と買い戻すことは出来やしない》,1
2,"1,2,3,4",《もうカラットは得られない》,1
3,"1,2,3,4",《もう誰とも共感できない》,1
4,"1,2,3,4",《今日から頷くだけの奴隷だ》,1
5,"1,2,3,4",《この記憶は誰のものでもない》,1
6,"1,2,3,4",《過去を捨て、今を生きる》,1
7,"1,2,3,4",《足が竦む、視界が暗くなる、もう二度と前に進めやしない》,1
8,"1,2,3,4",《世界は旋律を失った》,1
9,"1,2,3,4",《もう何も聞こえない》,1
10,"1,2,3,4",《視界が暗くなる》,1
11,"1,2,3,4",《世界が灰で満ちる》,1
12,"1,2,3,4",《君の顔がぼやけていく》,1
13,"1,2,3,4",《カタチだけの平坦な世界だ》,1
14,"1,2,3,4",《君の言葉が上手く理解できない》,1
15,"1,2,3,4",《何かが失われたことだけが分かった》,1
16,"1,2,3,4",《商人は口を閉ざした》,1
17,"1,2,3,4",《これが何度目なのか、もう分からない》,1
18,"1,2,3,4",《あのおかしなもようはなんだ？》,1
19,"1,2,3,4",《該当文字意味不明理解不能》,1
20,"1,2,3,4",《横文字ばかりでうんざりだったところだ》,1
21,"1,2,3,4",《異国の言語は難解だ》,1
22,"1,2,3,4",《足元が暗くなる》,1
23,"1,2,3,4",《指先の感覚は失われた》,1
24,"1,2,3,4",《時間は有限だ》,1
25,"1,2,3,4",《あまり余裕はないんだ》,1
26,"1,2,3,4",《人の心がわからない》,1
27,"1,2,3,4",《一度きりの人生だ》,1
28,"1,2,3,4",《あまり多くのものは品定めできない》,1
29,"1,2,3,4",,1
30,"1,2,3,4",《名を棄て、無名の人となる》,1
31,"1,2,3,4",《メモなど必要ない》,1
32,"1,2,3,4",《休んでいる暇などない》,1
33,"1,2,3,4",《手放して良かったのだろうか？》,1
34,"1,2,3,4",《己を守る術を失った》,1
35,"1,2,3,4",,1
36,"1,2,3,4",《駆け引きはあまり得意ではない》,1
37,"1,2,3,4",《そして運に見放された》,1
38,"1,2,3,4",,1
39,"1,2,3,4",,1
40,"1,2,3,4",,1
41,"1,2,3,4",,1
42,"1,2,3,4",,1
43,"1,2,3,4",,1
44,"1,2,3,4",,1
