ID,Likability,Name,Text,Face
0,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
1,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
2,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
3,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
4,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
5,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
6,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
7,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
8,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
9,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
10,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
11,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
12,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
13,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
14,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
15,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
16,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
17,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
18,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
19,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
20,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
21,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
22,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
23,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
24,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
25,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
26,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
27,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
28,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
29,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
30,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
31,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
32,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
33,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
34,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
35,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
36,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
37,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
38,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
39,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
40,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
41,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
42,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
43,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
44,"1,2,3,4",イカれた学者,《「毎度ありぃ！」》,5
