ID,Likability,Text,Face
0,"1,2,3,4",《「うぅ……この音は苦手なんだよね……」》,4
1,"1,2,3,4",《何かを手に入れる、対価を支払う、その手段》,1
2,"1,2,3,4",《何かを失う、対価を得る、その手段》,1
3,"1,2,3,4",《首を縦に振る従順さ》,1
4,"1,2,3,4",《首を横に振る勇敢さ》,1
5,"1,2,3,4",《目的を見失わないために、刻み込め》,1
6,"1,2,3,4",《思い出せ、己が何者であるかを》,1
7,"1,2,3,4",《一歩前に進む、そんなささやかな強さ》,1
8,"1,2,3,4",《「美しい旋律だけが、私の心を癒やしてくれる」》,2
9,"1,2,3,4",《「音のない世界に、価値などない」》,4
10,"1,2,3,4",《心の暗澹を照らす輝き》,1
11,"1,2,3,4",《「色は目で見るものではなく、耳で聴くもの」》,2
12,"1,2,3,4",《より優れた瞳を》,1
13,"1,2,3,4",《カタチだけでは、本質は理解できない》,1
14,"1,2,3,4",《言葉は理解できなければただの音に過ぎない》,1
15,"1,2,3,4",《なんだ？これは》,1
16,"1,2,3,4",《「耳を澄ませて言の葉を交わそう、そうすればきっと分かり合えるから」》,5
17,"1,2,3,4",《数字は裏切らない》,1
18,"1,2,3,4",《この世界で広く普及した表意文字だ》,1
19,"1,2,3,4",《平凡な文字だ、だからこそ溢れている》,1
20,"1,2,3,4",《文字通りの欠片ではなく、自己完結している》,1
21,"1,2,3,4",《世界を繋げる文字だ》,1
22,"1,2,3,4",《自分の意思を確かに示せ》,1
23,"1,2,3,4",《これはこれだ》,1
24,"1,2,3,4",《「時を刻む音が聞こえる、キミの胸の中から」》,2
25,"1,2,3,4",《取引できるものはまだまだある》,1
26,"1,2,3,4",《「私はこんなものがなくても、みんなの心の音が聞こえてしまうから」》,4
27,"1,2,3,4",《やり直せ》,1
28,"1,2,3,4",《取引できるものはまだあるだろう？》,1
29,"1,2,3,4",,1
30,"1,2,3,4",《お前は誰だ》,1
31,"1,2,3,4",《「楽譜でも書くの？」》,2
32,"1,2,3,4",《一休みする余裕》,1
33,"1,2,3,4",《鍵のかかった扉なんてあったか？》,1
34,"1,2,3,4",《「それ、嫌な音がする」》,1
35,"1,2,3,4",,1
36,"1,2,3,4",《交渉のコツは本命を後から提示することだ》,1
37,"1,2,3,4",《「澄んだ音がする、きっとこれはキミを助けてくれる」》,2
38,"1,2,3,4",,1
39,"1,2,3,4",,1
40,"1,2,3,4",,1
41,"1,2,3,4",,1
42,"1,2,3,4",,1
43,"1,2,3,4",,1
44,"1,2,3,4",,1
